"County","ED_visit_count","total_pop","prop_black","prop_asian","prop_hispanic","log_med_income","gini_index","health_outcomes","rural","insured_prop","segregation_index","vape_shop_density","gps"
"Stokes",797,44889,0.047,0.008,0.036,4.094994351,0.44,41,1,0.914,48,0,1.93536868671655
"Surry",2745,71407,0.053,0.01,0.121,4.027046682,0.481,47,1,0.881,42,8.402537566,2.4548220959414
"Swain",831,14065,0.028,0.017,0.051,4.015102922,0.447,96,1,0.768,65,35.54923569,1.39557098178405
"Transylvania",1643,33243,0.048,0.009,0.049,4.167021749,0.45,19,1,0.882,49,15.04076046,2.39489750908293
"Tyrrell",83,3376,0.338,0.01,0.1,3.783098129,0.404,10,1,0.872,13,29.62085308,0.187218357794528
"Union",2776,244975,0.132,0.05,0.129,4.597571388,0.446,3,0,0.921,35,4.082049189,1.27738089302047
"Vance",1405,42361,0.52,0.01,0.091,3.8489341,0.458,94,1,0.871,31,2.36066193,2.14223825376855
"Wake",5788,1151009,0.215,0.094,0.114,4.62264658,0.451,1,0,0.918,46,4.952176742,2.07169899273697
"Warren",607,18751,0.507,0.007,0.044,3.812843349,0.517,92,1,0.894,34,0,2.81661429555869
"Washington",167,10905,0.499,0.006,0.039,3.731699451,0.507,89,1,0.916,16,0,2.68991909827442
"Watauga",1001,54607,0.031,0.017,0.06,3.938995943,0.509,7,1,0.893,68,21.97520464,0.148790911683364
"Wayne",1542,117606,0.332,0.021,0.132,4.061855805,0.466,60,1,0.879,43,6.802374029,2.84573534307962
"Wilkes",2384,65983,0.056,0.008,0.073,3.920744859,0.437,73,1,0.886,51,7.57770941,1.33553797651313
"Wilson",2564,78648,0.407,0.014,0.119,3.939268454,0.476,82,1,0.872,48,6.357440749,2.78721260984073
"Yadkin",900,37419,0.04,0.004,0.121,4.099680302,0.462,61,1,0.881,48,13.36219568,3.00648582606673
"Yancey",1107,18676,0.016,0.004,0.056,4.006623843,0.468,23,1,0.906,33,0,0.977126454104422
